Year,All Races,White,Black,Asian
1980,22.65,14.35,58.8,NA
1981,22.78333333,14.76666667,58.25,NA
1982,23.31666667,15.4,57.65,NA
1983,23.66666667,15.88333333,56.73333333,NA
1984,24.46666667,16.75,56.55,NA
1985,26.18333333,18.4,58.7,NA
1986,27.65,19.75,61.01666667,NA
1987,29.48333333,21.2,64.8,NA
1988,31.85,23.15,68.9,NA
1989,34.73333333,25.61666667,73.36666667,NA
1990,37.01666667,28.23333333,74.7,NA
1991,38,29.61666667,74.15,NA
1992,38.03333333,30.15,72.08333333,NA
1993,38.28333333,30.86666667,70.35,NA
1994,39.68333333,32.86666667,69.03333333,NA
1995,38.28333333,32.38333333,63.78333333,NA
1996,38.41666667,32.9,62.66666667,NA
1997,37.48333333,32.1,61.98333333,NA
1998,38.01666667,32.8,62.76666667,NA
1999,38.18333333,33.43333333,61.3,NA
2000,38.95,34.26666667,61.96666667,19.96666667
2001,38.86666667,34.71666667,59.86666667,19.71666667
2002,39.11666667,35.46666667,58.45,19.91666667
2003,40.63333333,37.31666667,58.83333333,20.83333333
2004,42.06666667,39,59.45,22.15
2005,43.5,40.66666667,60.11666667,23.3
2006,46.43333333,43.93333333,62.91666667,24.33333333
2007,47.78333333,45.71666667,63.5,24.48333333
2008,47.7,45.71666667,62.98333333,25.05
2009,46,43.91666667,61.21666667,24.75
2010,44.03333333,42.11666667,58.35,23.98333333
2011,42.86666667,40.75,56.96666667,24.2
2012,42.38333333,40.31666667,55.91666667,25.18333333
2013,41.75,39.58333333,55.26666667,24.6
2014,41.86666667,39.83333333,55.48333333,25.43333333
2015,41.7,39.91666667,53.86666667,24.05
